researcher_id,coauthor_count,shared_paper_strength,fractional_collaboration_strength,component,component_size,in_giant_component,community
ur.010022113441.97,31,31.0,1.0000002,0,59091,True,17
ur.01002213733.22,27,124.0,11.0,0,59091,True,9
ur.010022214117.23,14,14.0,0.99999976,0,59091,True,24
ur.010022240343.22,9,18.0,2.0000002,59,10,False,298
ur.01002225131.58,23,23.0,1.0,0,59091,True,13
ur.01002225271.16,722,1417.0,20.0,0,59091,True,1
ur.01002225737.26,9,9.0,1.0000001,0,59091,True,24
ur.01002226355.66,21,21.0,1.0,0,59091,True,2
ur.01002231551.55,20,47.0,7.999999,0,59091,True,38
ur.010022355544.72,30,40.0,2.9999998,0,59091,True,23
ur.010022373721.51,24,48.0,5.0,0,59091,True,13
ur.010022467140.85,32,39.0,2.0000002,0,59091,True,4
ur.010022474457.03,34,59.0,4.0,0,59091,True,30
ur.01002251237.16,625,1437.0,7.0,0,59091,True,4
ur.010022571030.75,1570,1570.0,1.0000001,0,59091,True,5
ur.010022575015.06,22,22.0,1.0000001,0,59091,True,22
ur.01002261712.66,8,8.0,0.99999994,0,59091,True,4
ur.01002262164.34,15,15.0,0.99999994,0,59091,True,13
ur.010022713776.77,16,16.0,1.0,0,59091,True,16
ur.010022750155.96,4,4.0,1.0,0,59091,True,6
ur.010022764614.34,4,4.0,1.0,0,59091,True,4
ur.010023002737.69,21,23.0,2.0000002,0,59091,True,32
ur.010023035457.12,59,59.0,2.9999995,0,59091,True,17
ur.01002305470.66,16,16.0,1.0,0,59091,True,29
ur.010023073527.72,4,4.0,1.0,60,5,False,888
ur.010023121041.02,2,2.0,0.99999994,61,3,False,1440
ur.01002312543.34,5,5.0,0.99999994,62,6,False,757
ur.01002317046.30,24,46.0,2.0,0,59091,True,9
ur.010023210662.51,83,139.0,4.0000005,0,59091,True,20
ur.01002331717.83,35,35.0,0.99999994,0,59091,True,52
ur.010023334625.42,19,19.0,0.9999999,0,59091,True,2
ur.01002337163.40,37,73.0,2.0,0,59091,True,2
ur.010023406775.48,15,15.0,0.99999994,0,59091,True,7
ur.01002342062.90,19,19.0,0.9999999,0,59091,True,25
ur.01002342106.56,41,211.0,19.0,0,59091,True,11
ur.010023532564.62,5,5.0,0.99999994,63,7,False,577
ur.010023533501.43,4,4.0,1.0,0,59091,True,11
ur.010023552240.55,18,22.0,2.0,0,59091,True,14
ur.01002363174.73,957,957.0,0.9999998,0,59091,True,5
ur.01002370532.18,12,19.0,2.0000002,64,25,False,121
ur.01002372260.85,9,18.0,2.0000002,0,59091,True,11
ur.01002374162.44,463,746.0,18.0,0,59091,True,1
ur.01002377130.46,683,1711.0,16.0,0,59091,True,4
ur.01002401011.94,7,19.0,5.0,0,59091,True,9
ur.01002403301.76,13,13.0,1.0,0,59091,True,18
ur.01002407204.51,32,33.0,2.0000005,0,59091,True,24
ur.010024111044.39,5,5.0,0.99999994,65,6,False,770
ur.01002411307.96,455,791.0,12.999999,0,59091,True,15
ur.010024117146.91,17,17.0,0.99999994,0,59091,True,15
ur.01002414266.34,15,15.0,0.99999994,0,59091,True,1
ur.01002422346.89,5,12.0,3.0,0,59091,True,7
ur.010024273173.88,13,20.0,4.0,0,59091,True,53
ur.010024425731.28,593,691.0,9.999999,0,59091,True,1
ur.010024435605.24,1806,2527.0,2.0,0,59091,True,5
ur.01002445705.05,289,468.0,2.0,0,59091,True,2
ur.01002455214.26,7,7.0,0.99999994,66,8,False,471
ur.01002455416.83,187,235.0,7.0,0,59091,True,7
ur.01002461603.18,5,5.0,0.99999994,0,59091,True,3
ur.010024644050.28,3,3.0,0.99999994,67,5,False,819
ur.010024663417.28,48,83.0,3.0000007,0,59091,True,36
ur.01002466710.16,3,3.0,0.99999994,0,59091,True,26
ur.010024667110.39,8,8.0,0.99999994,0,59091,True,57
ur.010024724432.09,4,4.0,1.0,0,59091,True,12
ur.010025025270.20,59,59.0,1.0000001,0,59091,True,3
ur.01002505704.96,13,26.0,2.0,0,59091,True,1
ur.010025073604.37,12,37.0,4.0,0,59091,True,28
ur.010025137435.38,11,11.0,1.0000001,0,59091,True,33
ur.01002514237.17,16,16.0,1.0,0,59091,True,24
ur.01002515140.34,4,4.0,1.0,68,5,False,859
ur.010025274372.47,5,5.0,0.99999994,69,6,False,690
ur.01002542763.51,12,31.0,6.999999,0,59091,True,79
ur.01002543064.99,16,31.0,1.9999995,0,59091,True,28
ur.010025476574.72,5,5.0,0.99999994,0,59091,True,35
ur.010025513303.66,5,5.0,0.99999994,70,6,False,696
ur.010025516464.18,9,9.0,1.0000001,0,59091,True,32
ur.01002554230.78,359,564.0,3.0000002,0,59091,True,4
ur.01002556137.20,418,547.0,3.9999998,0,59091,True,1
ur.010025566665.23,957,957.0,0.9999998,0,59091,True,5
ur.010025610741.60,3,6.0,1.9999999,0,59091,True,13
