coauthor_count,n_authors,author_share_percent,survival_percent
334,11,0.015887459017577307,7.28223348787498
335,10,0.014443144561433915,7.266346028857403
336,4,0.005777257824573566,7.251902884295969
337,11,0.015887459017577307,7.246125626471395
338,6,0.00866588673686035,7.230238167453818
339,8,0.011554515649147131,7.221572280716957
340,8,0.011554515649147131,7.210017765067811
341,10,0.014443144561433915,7.198463249418664
342,13,0.01877608792986409,7.18402010485723
343,12,0.0173317734737207,7.165244016927366
344,18,0.025997660210581048,7.147912243453645
345,3,0.004332943368430175,7.121914583243064
346,5,0.007221572280716957,7.117581639874634
347,6,0.00866588673686035,7.110360067593916
348,5,0.007221572280716957,7.101694180857057
349,4,0.005777257824573566,7.094472608576339
350,9,0.012998830105290524,7.088695350751766
351,4,0.005777257824573566,7.075696520646475
352,4,0.005777257824573566,7.069919262821902
353,7,0.01011020119300374,7.064142004997328
354,9,0.012998830105290524,7.054031803804325
355,10,0.014443144561433915,7.041032973699034
356,7,0.01011020119300374,7.0265898291376
357,4,0.005777257824573566,7.016479627944596
358,17,0.024553345754437655,7.010702370120023
359,9,0.012998830105290524,6.986149024365585
360,7,0.01011020119300374,6.9731501942602945
361,4,0.005777257824573566,6.963039993067291
362,6,0.00866588673686035,6.957262735242717
363,6,0.00866588673686035,6.948596848505857
364,2,0.002888628912286783,6.939930961768996
365,3,0.004332943368430175,6.937042332856709
366,6,0.00866588673686035,6.932709389488279
367,9,0.012998830105290524,6.924043502751419
368,12,0.0173317734737207,6.9110446726461285
369,13,0.01877608792986409,6.8937128991724075
370,3,0.004332943368430175,6.874936811242543
371,7,0.01011020119300374,6.870603867874114
372,7,0.01011020119300374,6.860493666681109
373,7,0.01011020119300374,6.850383465488106
374,20,0.02888628912286783,6.840273264295102
375,5,0.007221572280716957,6.811386975172234
376,7,0.01011020119300374,6.804165402891518
377,6,0.00866588673686035,6.794055201698514
378,16,0.023109031298294263,6.7853893149616535
379,7,0.01011020119300374,6.762280283663359
380,5,0.007221572280716957,6.752170082470355
381,11,0.015887459017577307,6.744948510189639
382,2,0.002888628912286783,6.729061051172061
383,4,0.005777257824573566,6.726172422259775
384,1,0.0014443144561433914,6.7203951644352005
385,7,0.01011020119300374,6.718950849979057
386,2,0.002888628912286783,6.708840648786054
387,3,0.004332943368430175,6.7059520198737665
388,5,0.007221572280716957,6.701619076505337
389,8,0.011554515649147131,6.69439750422462
390,8,0.011554515649147131,6.682842988575473
391,5,0.007221572280716957,6.671288472926325
392,5,0.007221572280716957,6.664066900645609
393,4,0.005777257824573566,6.656845328364891
394,4,0.005777257824573566,6.651068070540318
395,1,0.0014443144561433914,6.645290812715745
396,8,0.011554515649147131,6.6438464982596015
397,6,0.00866588673686035,6.632291982610454
398,1,0.0014443144561433914,6.623626095873593
399,2,0.002888628912286783,6.62218178141745
400,3,0.004332943368430175,6.619293152505163
401,7,0.01011020119300374,6.614960209136734
402,8,0.011554515649147131,6.604850007943729
403,3,0.004332943368430175,6.593295492294582
404,5,0.007221572280716957,6.588962548926152
405,8,0.011554515649147131,6.581740976645436
406,1,0.0014443144561433914,6.570186460996288
407,8,0.011554515649147131,6.568742146540145
408,28,0.04044080477201496,6.557187630890998
409,5,0.007221572280716957,6.5167468261189825
410,4,0.005777257824573566,6.509525253838266
411,5,0.007221572280716957,6.503747996013692
412,6,0.00866588673686035,6.496526423732975
413,5,0.007221572280716957,6.487860536996115
414,6,0.00866588673686035,6.480638964715398
415,12,0.0173317734737207,6.471973077978538
416,9,0.012998830105290524,6.4546413045048165
417,7,0.01011020119300374,6.441642474399527
418,7,0.01011020119300374,6.431532273206522
419,3,0.004332943368430175,6.4214220720135184
420,5,0.007221572280716957,6.417089128645088
422,6,0.00866588673686035,6.409867556364372
423,3,0.004332943368430175,6.401201669627511
424,6,0.00866588673686035,6.396868726259081
425,5,0.007221572280716957,6.38820283952222
426,4,0.005777257824573566,6.380981267241504
427,5,0.007221572280716957,6.37520400941693
428,5,0.007221572280716957,6.367982437136213
429,3,0.004332943368430175,6.3607608648554965
430,4,0.005777257824573566,6.356427921487066
431,15,0.021664716842150874,6.350650663662493
432,3,0.004332943368430175,6.3289859468203415
433,3,0.004332943368430175,6.324653003451911
434,7,0.01011020119300374,6.320320060083481
435,5,0.007221572280716957,6.310209858890477
436,4,0.005777257824573566,6.302988286609761
437,7,0.01011020119300374,6.2972110287851875
438,4,0.005777257824573566,6.287100827592184
439,2,0.002888628912286783,6.2813235697676095
440,4,0.005777257824573566,6.278434940855323
441,5,0.007221572280716957,6.27265768303075
442,3,0.004332943368430175,6.2654361107500325
443,11,0.015887459017577307,6.261103167381602
444,4,0.005777257824573566,6.245215708364025
445,5,0.007221572280716957,6.239438450539452
446,3,0.004332943368430175,6.232216878258734
447,5,0.007221572280716957,6.227883934890304
448,5,0.007221572280716957,6.220662362609588
449,3,0.004332943368430175,6.21344079032887
450,4,0.005777257824573566,6.20910784696044
451,5,0.007221572280716957,6.2033305891358665
452,5,0.007221572280716957,6.19610901685515
453,3,0.004332943368430175,6.188887444574433
454,10,0.014443144561433915,6.184554501206002
455,9,0.012998830105290524,6.1701113566445684
456,3,0.004332943368430175,6.1571125265392785
457,3,0.004332943368430175,6.152779583170848
458,6,0.00866588673686035,6.148446639802418
459,5,0.007221572280716957,6.1397807530655575
460,5,0.007221572280716957,6.13255918078484
461,9,0.012998830105290524,6.125337608504124
462,5,0.007221572280716957,6.112338778398833
463,8,0.011554515649147131,6.105117206118116
464,9,0.012998830105290524,6.093562690468969
465,5,0.007221572280716957,6.080563860363679
466,2,0.002888628912286783,6.073342288082961
467,1,0.0014443144561433914,6.070453659170675
468,5,0.007221572280716957,6.069009344714531
469,4,0.005777257824573566,6.0617877724338145
470,4,0.005777257824573566,6.056010514609241
471,4,0.005777257824573566,6.050233256784667
472,2,0.002888628912286783,6.0444559989600934
473,6,0.00866588673686035,6.041567370047807
474,6,0.00866588673686035,6.032901483310947
475,6,0.00866588673686035,6.024235596574086
476,4,0.005777257824573566,6.015569709837226
477,2,0.002888628912286783,6.009792452012652
478,2,0.002888628912286783,6.006903823100365
479,4,0.005777257824573566,6.004015194188079
480,5,0.007221572280716957,5.998237936363505
481,6,0.00866588673686035,5.991016364082788
482,4,0.005777257824573566,5.9823504773459275
483,6,0.00866588673686035,5.976573219521354
484,1,0.0014443144561433914,5.967907332784494
485,6,0.00866588673686035,5.9664630183283505
486,7,0.01011020119300374,5.95779713159149
487,3,0.004332943368430175,5.947686930398486
488,11,0.015887459017577307,5.943353987030056
489,1,0.0014443144561433914,5.927466528012479
490,5,0.007221572280716957,5.926022213556336
491,4,0.005777257824573566,5.9188006412756184
492,4,0.005777257824573566,5.913023383451045
493,3,0.004332943368430175,5.907246125626472
494,1,0.0014443144561433914,5.902913182258041
495,3,0.004332943368430175,5.901468867801897
496,4,0.005777257824573566,5.897135924433468
497,2,0.002888628912286783,5.891358666608894
498,2,0.002888628912286783,5.8884700376966075
499,29,0.04188511922815835,5.88558140878432
500,3,0.004332943368430175,5.843696289556163
501,6,0.00866588673686035,5.839363346187732
502,4,0.005777257824573566,5.830697459450872
503,5,0.007221572280716957,5.824920201626298
504,3,0.004332943368430175,5.817698629345581
505,8,0.011554515649147131,5.813365685977151
506,5,0.007221572280716957,5.801811170328004
507,2,0.002888628912286783,5.794589598047287
508,5,0.007221572280716957,5.791700969135
509,1,0.0014443144561433914,5.784479396854283
510,8,0.011554515649147131,5.78303508239814
511,5,0.007221572280716957,5.771480566748993
512,2,0.002888628912286783,5.764258994468276
513,3,0.004332943368430175,5.7613703655559885
514,3,0.004332943368430175,5.757037422187559
515,7,0.01011020119300374,5.752704478819129
516,3,0.004332943368430175,5.742594277626125
517,5,0.007221572280716957,5.738261334257695
518,3,0.004332943368430175,5.7310397619769775
519,7,0.01011020119300374,5.726706818608547
520,150,0.21664716842150872,5.716596617415544
521,5,0.007221572280716957,5.499949448994035
522,4,0.005777257824573566,5.492727876713318
523,1,0.0014443144561433914,5.486950618888744
524,16,0.023109031298294263,5.485506304432601
525,2,0.002888628912286783,5.4623972731343065
526,6,0.00866588673686035,5.45950864422202
527,5,0.007221572280716957,5.45084275748516
528,13,0.01877608792986409,5.443621185204442
529,5,0.007221572280716957,5.424845097274579
530,4,0.005777257824573566,5.417623524993862
531,2,0.002888628912286783,5.411846267169288
532,5,0.007221572280716957,5.408957638257001
534,6,0.00866588673686035,5.4017360659762845
535,3,0.004332943368430175,5.393070179239424
536,4,0.005777257824573566,5.388737235870994
537,2,0.002888628912286783,5.38295997804642
538,6,0.00866588673686035,5.380071349134133
